,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
3800,5,1747.63,2437,2.49,0.26,7.17,1.99,15.91,1.14,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3801,5,1749.62,1963,2.01,0.25,5.84,2.06,24.61,1.05,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3802,5,1751.68,3187,3.26,0.45,6.85,1.5,41.71,1.44,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3803,5,1753.18,1981,2.03,0.22,6.06,2.01,18.06,1.08,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3804,5,1755.19,2360,2.42,0.23,6.83,1.95,17.39,1.03,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3805,5,1757.14,1877,1.92,0.23,5.44,1.2,21.15,1.01,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3806,5,1758.34,2426,2.48,0.24,7.12,2.03,18.25,1.08,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3807,5,1760.37,2805,2.87,0.24,8.22,2.65,14.11,1.16,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3808,5,1763.02,1825,1.87,0.24,5.34,1.08,22.71,1.03,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3809,5,1764.1,1974,2.02,0.25,5.77,1.79,19.91,1.09,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3810,5,1765.89,1706,1.75,0.26,5.28,2.2,24.93,1.02,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3811,5,1768.09,3928,4.02,0.39,9.21,2.29,34.22,1.74,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3812,5,1770.38,2377,2.43,0.33,6.39,2.8,35.18,1.25,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3813,5,1773.18,5020,5.14,0.61,7.96,2.41,55.59,1.83,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3814,5,1775.59,1892,1.94,0.27,5.61,1.77,23.9,0.94,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3815,5,1777.36,2501,2.56,0.26,7.3,1.56,19.07,1.25,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3816,5,1778.92,2149,2.2,0.26,6.24,2.13,24.23,1.03,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3817,5,1781.05,1090,1.12,0.13,5.1,1.38,18.21,0.93,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3818,5,1782.43,3218,3.29,0.24,9.46,2.58,9.77,1.35,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3819,5,1785.01,2920,2.99,0.25,8.6,3.5,11.06,1.28,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3820,5,1788.51,2112,2.16,0.25,6.2,2.42,28.7,0.95,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3821,5,1790.93,2521,2.58,0.25,7.42,3.76,17.0,1.16,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3822,5,1794.69,2978,3.05,0.31,8.59,3.52,23.42,1.64,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3823,5,1798.21,1631,1.67,0.21,5.1,1.33,22.97,0.99,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3824,5,1799.54,1996,2.04,0.26,5.92,N/A,28.3,1.0,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3825,6,0.27,2741,2.75,0.22,8.39,N/A,15.32,1.07,2024-12-26,M06792,6,000067,N/A,N/A,N/A,N/A,N/A,N/A
3826,6,3.35,2595,2.61,0.25,7.33,1.86,22.76,0.95,2024-12-26,M06792,6,000067,N/A,N/A,N/A,N/A,N/A,N/A
3827,6,5.21,5208,5.23,0.45,9.81,2.41,45.03,1.57,2024-12-26,M06792,6,000067,N/A,N/A,N/A,N/A,N/A,N/A
3828,6,7.62,2510,2.52,0.29,6.68,1.1,33.81,1.2,2024-12-26,M06792,6,000067,N/A,N/A,N/A,N/A,N/A,N/A
3829,6,8.72,2484,2.5,0.26,7.23,2.38,20.18,1.03,2024-12-26,M06792,6,000067,N/A,N/A,N/A,N/A,N/A,N/A
3830,6,11.1,2903,2.92,0.26,8.1,1.98,25.0,1.06,2024-12-26,M06792,6,000067,N/A,N/A,N/A,N/A,N/A,N/A
3831,6,13.08,2514,2.53,0.26,6.92,1.97,22.94,0.98,2024-12-26,M06792,6,000067,N/A,N/A,N/A,N/A,N/A,N/A
3832,6,15.05,3817,3.84,0.27,10.74,3.1,22.29,1.22,2024-12-26,M06792,6,000067,N/A,N/A,N/A,N/A,N/A,N/A
3833,6,18.15,2630,2.64,0.26,7.41,1.63,23.92,0.97,2024-12-26,M06792,6,000067,N/A,N/A,N/A,N/A,N/A,N/A
3834,6,19.78,2874,2.89,0.25,8.2,1.0,17.77,1.03,2024-12-26,M06792,6,000067,N/A,N/A,N/A,N/A,N/A,N/A
